Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
NJAN,395,0,0.00,0,0.00,40.56,395,0
XSHQ,395,0,0.00,0,0.00,37.60,395,0
NANC,392,0,0.00,0,0.00,28.46,392,0
QMOM,378,0,0.00,0,0.00,46.03,378,0
FDG,370,0,0.00,0,0.00,67.41,370,0
SPMV,354,0,0.00,0,0.00,38.07,354,0
IBMP,339,0,0.00,0,0.00,24.81,339,0
XDAP,336,0,0.00,0,0.00,29.10,336,0
BBRE,321,0,0.00,0,0.00,84.15,320,1
TRTY,313,0,0.00,0,0.00,24.63,313,0
ADFI,310,0,0.00,0,0.00,8.40,310,0
DAPR,304,0,0.00,0,0.00,31.07,304,0
GSEE,300,0,0.00,0,0.00,41.20,300,0
IVVM,300,0,0.00,0,0.00,25.67,300,0
MSVX,300,0,0.00,0,0.00,23.36,300,0
BCHP,286,0,0.00,0,0.00,25.95,286,0
LCF,284,0,0.00,0,0.00,29.09,284,0
STLG,284,0,0.00,0,0.00,37.31,284,0
DFHY,283,0,0.00,0,0.00,20.77,283,0
FFSG,275,0,0.00,0,0.00,32.86,275,0
MAMB,268,0,0.00,0,0.00,21.60,268,0
SMB,266,0,0.00,0,0.00,16.80,266,0
EFNL,264,0,0.00,0,0.00,34.36,264,0
BJAN,263,0,0.00,0,0.00,38.31,263,0
DFNV,263,0,0.00,0,0.00,26.03,263,0
KJUL,261,0,0.00,0,0.00,26.09,161,100
EMTL,251,0,0.00,0,0.00,40.69,251,0
GHYG,241,0,0.00,0,0.00,42.29,236,5
IBMM,238,0,0.00,0,0.00,25.71,238,0
ICLO,225,0,0.00,0,0.00,25.62,225,0
DUBS,217,0,0.00,0,0.00,25.86,217,0
STOT,215,0,0.00,0,0.00,46.43,215,0
GSST,214,0,0.00,0,0.00,49.78,214,0
LJIM,212,0,0.00,0,0.00,26.56,212,0
GFEB,205,0,0.00,0,0.00,31.55,205,0
DJAN,200,0,0.00,0,0.00,33.17,200,0
DSEP,200,0,0.00,0,0.00,35.00,200,0
QTOC,200,0,0.00,0,0.00,22.96,200,0
RMIF,200,0,0.00,0,0.00,25.28,200,0
VWID,200,0,0.00,0,0.00,25.72,0,200
DFND,190,0,0.00,0,0.00,37.83,190,0
EVUS,172,0,0.00,0,0.00,24.85,172,0
DWLD,171,0,0.00,0,0.00,29.13,171,0
NOCT,171,0,0.00,0,0.00,42.25,171,0
HSUN,160,0,0.00,0,0.00,33.01,160,0
BDEC,159,0,0.00,0,0.00,36.67,159,0
XEMD,154,0,0.00,0,0.00,39.45,154,0
XJR,152,0,0.00,0,0.00,35.81,52,100
XSHD,152,0,0.00,0,0.00,16.06,152,0
FIBR,151,0,0.00,0,0.00,83.41,151,0
PMAY,151,0,0.00,0,0.00,30.16,151,0
MDEV,150,0,0.00,0,0.00,19.62,150,0
FDEM,146,0,0.00,0,0.00,22.95,146,0
BOCT,134,0,0.00,0,0.00,37.26,134,0
DINT,126,0,0.00,0,0.00,18.97,126,0
PNOV,126,0,0.00,0,0.00,34.50,126,0
RSEE,125,0,0.00,0,0.00,26.55,125,0
BMAY,123,0,0.00,0,0.00,32.17,123,0
BNOV,110,0,0.00,0,0.00,34.56,110,0
BGLD,105,0,0.00,0,0.00,19.70,105,0
UAUG,105,0,0.00,0,0.00,29.53,105,0
MOTG,103,0,0.00,0,0.00,34.03,103,0
SHAG,103,0,0.00,0,0.00,46.65,103,0
SUPP,103,0,0.00,0,0.00,52.69,103,0
FPAG,102,0,0.00,0,0.00,24.72,102,0
GLDB,102,0,0.00,0,0.00,19.06,102,0
QSPT,102,0,0.00,0,0.00,21.96,102,0
UMAY,102,0,0.00,0,0.00,28.23,102,0
XTJL,102,0,0.00,0,0.00,27.84,102,0
OEUR,101,0,0.00,0,0.00,26.98,101,0
BKGI,100,0,0.00,0,0.00,27.73,100,0
BMAR,100,0,0.00,0,0.00,37.67,100,0
BUFT,100,0,0.00,0,0.00,20.11,100,0
DJUN,100,0,0.00,0,0.00,36.44,100,0
IBMR,100,0,0.00,0,0.00,24.46,100,0
